NTK Candidate List Tamil Nadu Election 2026,NTK Candidate List Tamil Nadu Election 2026
Candidate Name | Assembly Constituency,
Sridhar | 1 - Gummidipoondi,
Rajathi | 2 - Ponneri,
Chandran | 3 - Tiruttani,
Senthil Kumar | 4 - Thiruvallur,
Mehala | 5 - Poonamallee,
Punitha | 6 - Avadi,
Revathi | 7 - Maduravoyal,
Aadhithan | 8 - Ambattur,
Kruthika Elumalai | 9 - Madavaram,
Sathya Baskar | 10 - Thiruvottiyur,
Vennila Thayumanavan | 11 - Dr.Radhakrishnan Nagar,
Vetrithamizhan | 12 - Perambur,
Soundrapandian | 13 - Kolathur,
Roshini | 14 - Villivakkam,
Jegadeesh Chander | 15 - Thiru-Vi-Ka-Nagar,
Saranya | 16 - Egmore,
Babumailan | 17 - Royapuram,
Rufhkhan Sheriff | 18 - Harbour,
Ayisha Beham | 19 - Chepauk-Thiruvallikeni,
Kalanjiyam | 20 - Thousand Lights,
C. Shankar | 21 - Anna Nagar,
Santhosh | 22 - Virugampakkam,
Srividhya | 23 - Saidapet,
Anusha Vijayakumar | 24 - Thiyagarayanagar,
Arun | 25 - Mylapore,
Keerthana | 26 - Velachery,
jayalakshmi Raman | 27 - Shozhinganallur,
Mahalakshmi | 28 - Alandur,
Sindhu | 29 - Sriperumbudur,
Karthikeyan | 30 - Pallavaram,
Tamilselvi | 31 - Tambaram,
Amutha Nambiyar | 32 - Chengalpattu,
Ambethrajan | 33 - Thiruporur,
Swathi Lakshmi | 34 - Cheyyur,
Janaki Raman | 35 - Madurantakam,
Maram maasilamani | 36 - Uthiramerur,
Vetriselvi | 37 - Kancheepuram,
Raj Kumar | 38 - Arakkonam,
Ashok Kumar | 39 - Sholingur,
Thirukumaran | 40 - Katpadi,
Tharikka salman | 41 - Ranipet,
Archaha | 42 - Arcot,
Soniya | 43 - Vellore,
Ravi Kumar | 44 - Anaikattu,
Kalaiyendri | 45 - Kilvaithinankuppam,
Imalan | 46 - Gudiyattam,
Murugesan | 47 - Vaniyambadi,
Afsia Thoufic Bikrid | 48 - Ambur,
Sasi Rekha | 49 - Jolarpet,
Aarumugam | 50 - Tirupattur,
