Educational Qualification of Tamil Nadu MLA's,Assets of all MLA's in Tamil Nadu,List of Tamil Nadu MLA's with Criminal Records,,,
Candidate Name | Constituency | Party | Education,Candidate Name | Constituency | Party | Assets,Candidate Name | Constituency | Party | Criminal Cases,,,
--------------------------------------------------------------------,--------------------------------------------------------------------,--------------------------------------------------------------------,,,
Madhiyazhagan | Bargur | DMK | Graduate,Tha Mo Anbarasan | Alandur | DMK | ? NA,Tha Mo Anbarasan | Alandur | DMK | NA,,,
K.c.karupannan | Bhavani | AIADMK | 10th Pass,"Siva Ve Meyyanaadhan | Alangudi | DMK | ? 1,34,59,578",Siva Ve Meyyanaadhan | Alangudi | DMK | 29,,,
Bannari | Bhavanisagar | AIADMK | Graduate,"Manoj Pandian | Alangulam | AIADMK | ? 16,95,67,880",Manoj Pandian | Alangulam | AIADMK | 3,,,
Arunmozhithevan | Bhuvanagiri | AIADMK | Graduate Professional,"Isakki Subbaiah | Ambasamudram | AIADMK | ? 2,46,76,20,574",Isakki Subbaiah | Ambasamudram | AIADMK | 0,,,
O. Panneerselvam | Bodinayakanur | AIADMK | Graduate,"Joseph Samuel | Ambattur | DMK | ? 1,38,01,888",Joseph Samuel | Ambattur | DMK | 1,,,
Varalakshmi Madhusoodhanan | Chengalpattu | DMK | Others,"A S Viswanathan | Ambur | DMK | ? 3,86,35,845",A S Viswanathan | Ambur | DMK | 0,,,
Mu Pe Giri | Chengam | DMK | 12th Pass,"Nandhakumar | Anaikattu | DMK | ? 26,08,78,527",Nandhakumar | Anaikattu | DMK | 10,,,
Udhayanidhi Stalin | Chepauk-thiruvallikeni | DMK | Graduate,"Maharajan | Andipatti | DMK | ? 15,55,30,084",Maharajan | Andipatti | DMK | 4,,,
O Jothi | Cheyyar | DMK | Graduate,"M K Mohan | Anna Nagar | DMK | ? 2,11,20,99,843",M K Mohan | Anna Nagar | DMK | 4,,,
Babu | Cheyyur | VCK | Graduate,"Venkatachalam | Anthiyur | DMK | ? 4,29,51,409",Venkatachalam | Anthiyur | DMK | 9,,,
K.a.pandian | Chidambaram | AIADMK | Post Graduate,"Ravi | Arakkonam | AIADMK | ? 1,15,74,232",Ravi | Arakkonam | AIADMK | 0,,,
Amman Archunan | Coimbatore (North) | AIADMK | 10th Pass,"Sevur Ramachandran | Arani | AIADMK | ? 14,89,50,984",Sevur Ramachandran | Arani | AIADMK | 0,,,
Vanathi Srinivasan | Coimbatore (South) | BJP | Post Graduate,"S.t.ramachandran | Aranthangi | INC | ? 1,42,51,126",S.t.ramachandran | Aranthangi | INC | 0,,,
Prince | Colachel | INC | Post Graduate,"R.elango | Aravakurichi | DMK | ? 3,83,29,734",R.elango | Aravakurichi | DMK | 3,,,
K. Ramachandran | Coonoor | DMK | 12th Pass,"J L Eeswarappan | Arcot | DMK | ? 13,17,71,131",J L Eeswarappan | Arcot | DMK | 0,,,
Ko Ayyappan | Cuddalore | DMK | Post Graduate,"Chinappa | Ariyalur | MDMK | ? 1,46,71,830",Chinappa | Ariyalur | MDMK | 4,,,
Cumbum Ramakrishnan | Cumbum | DMK | Post Graduate,"S.s.r.ramachandiran | Aruppukkottai | DMK | ? 4,27,08,308",S.s.r.ramachandiran | Aruppukkottai | DMK | 9,,,
Kayalvizhi Selvaraj | Dharapuram (SC) | DMK | Post Graduate,"I.periyasamy | Athoor | DMK | ? 7,63,94,882",I.periyasamy | Athoor | DMK | 12,,,
S.p.venkateshwaran | Dharmapuri | PMK | Graduate,"Jayasankaran | Attur | AIADMK | ? 5,61,14,528",Jayasankaran | Attur | AIADMK | 0,,,
Srinivasan | Dindigul | AIADMK | Post Graduate,"Nazar | Avadi | DMK | ? 11,33,57,880",Nazar | Avadi | DMK | 29,,,
J J Ebenesar | Dr.radhakrishnan Nagar | DMK | Post Graduate,"Dhanapal | Avanashi (SC) | AIADMK | ? 4,94,43,148",Dhanapal | Avanashi (SC) | AIADMK | 0,,,
Palaniswami K | Edappadi | AIADMK | Graduate,"Madhiyazhagan | Bargur | DMK | ? 71,87,67,086",Madhiyazhagan | Bargur | DMK | 0,,,
Parandhaman | Egmore | DMK | Graduate Professional,"K.c.karupannan | Bhavani | AIADMK | ? 18,18,70,779",K.c.karupannan | Bhavani | AIADMK | 0,,,
Thirumagan Evera | Erode (East) | INC | Graduate,"Bannari | Bhavanisagar | AIADMK | ? 25,48,917",Bannari | Bhavanisagar | AIADMK | 0,,,
S. Muthusami | Erode (West) | DMK | Post Graduate,"Arunmozhithevan | Bhuvanagiri | AIADMK | ? 3,94,66,325",Arunmozhithevan | Bhuvanagiri | AIADMK | 0,,,
M.chinnadurai | Gandharvakottai | CPM | 8th Pass,"O. Panneerselvam | Bodinayakanur | AIADMK | ? 7,82,46,683",O. Panneerselvam | Bodinayakanur | AIADMK | 0,,,
Nallathambi | Gangavalli | AIADMK | 5th Pass,"Varalakshmi Madhusoodhanan | Chengalpattu | DMK | ? 41,44,45,408",Varalakshmi Madhusoodhanan | Chengalpattu | DMK | 0,,,
K S Masthan | Gingee | DMK | 8th Pass,"Mu Pe Giri | Chengam | DMK | ? 1,81,05,914",Mu Pe Giri | Chengam | DMK | 0,,,
K.a.sengottayan | Gobichettipalayam | AIADMK | 10th Pass,"Udhayanidhi Stalin | Chepauk-thiruvallikeni | DMK | ? 29,07,77,932",Udhayanidhi Stalin | Chepauk-thiruvallikeni | DMK | 22,,,
Pon Jeyaseelan | Gudalur | AIADMK | Graduate Professional,"O Jothi | Cheyyar | DMK | ? 63,78,573",O Jothi | Cheyyar | DMK | 3,,,
V Amalu | Gudiyattam | DMK | 8th Pass,"Babu | Cheyyur | VCK | ? 15,89,17,070",Babu | Cheyyur | VCK | 0,,,
T J Govindarajan | Gummidipoondi | DMK | 10th Pass,"K.a.pandian | Chidambaram | AIADMK | ? 6,20,79,604",K.a.pandian | Chidambaram | AIADMK | 0,,,
Sekar Babu | Harbour | DMK | 10th Pass,"Amman Archunan | Coimbatore (North) | AIADMK | ? 12,78,57,798",Amman Archunan | Coimbatore (North) | AIADMK | 0,,,
V.sampathkumar | Harur | AIADMK | Graduate Professional,"Vanathi Srinivasan | Coimbatore (South) | BJP | ? 9,41,34,507",Vanathi Srinivasan | Coimbatore (South) | BJP | 2,,,
Y Prakash | Hosur | DMK | 10th Pass,"Prince | Colachel | INC | ? 68,72,055",Prince | Colachel | INC | 73,,,
K S K Kannan | Jayankondam | DMK | Post Graduate,"K. Ramachandran | Coonoor | DMK | ? 10,54,41,336",K. Ramachandran | Coonoor | DMK | 3,,,
Devaraji | Jolarpet | DMK | 8th Pass,"Ko Ayyappan | Cuddalore | DMK | ? 2,34,70,563",Ko Ayyappan | Cuddalore | DMK | 0,,,
Krishnamurali | Kadayanallur | AIADMK | Graduate,"Cumbum Ramakrishnan | Cumbum | DMK | ? 7,38,91,559",Cumbum Ramakrishnan | Cumbum | DMK | 7,,,
Pe Su Thi Saravanan | Kalasapakkam | DMK | Post Graduate,"Kayalvizhi Selvaraj | Dharapuram (SC) | DMK | ? 4,17,07,053",Kayalvizhi Selvaraj | Dharapuram (SC) | DMK | 0,,,
Senthilkumar | Kallakurichi | AIADMK | 12th Pass,"S.p.venkateshwaran | Dharmapuri | PMK | ? 1,35,97,461",S.p.venkateshwaran | Dharmapuri | PMK | 4,,,
Ezhilarasan | Kancheepuram | DMK | Graduate Professional,"Srinivasan | Dindigul | AIADMK | ? 7,75,39,989",Srinivasan | Dindigul | AIADMK | 0,,,
Saminathan | Kangayam | DMK | Graduate,"J J Ebenesar | Dr.radhakrishnan Nagar | DMK | ? 15,80,302",J J Ebenesar | Dr.radhakrishnan Nagar | DMK | 0,,,
Thalavai Sundaram | Kanniyakumari | AIADMK | Graduate Professional,"Palaniswami K | Edappadi | AIADMK | ? 6,70,37,269",Palaniswami K | Edappadi | AIADMK | 0,,,
S.mangudi | Karaikudi | INC | Graduate,"Parandhaman | Egmore | DMK | ? 1,12,46,806",Parandhaman | Egmore | DMK | 0,,,
Senthil Balaji | Karur | DMK | Graduate,"Thirumagan Evera | Erode (East) | INC | ? 2,40,39,279",Thirumagan Evera | Erode (East) | INC | 0,,,
Durai Murugan | Katpadi | DMK | Post Graduate,"S. Muthusami | Erode (West) | DMK | ? 13,68,62,340",S. Muthusami | Erode (West) | DMK | 9,,,
Sindhanaiselvan | Kattumannarkoil (SC) | VCK | Others,"M.chinnadurai | Gandharvakottai | CPM | ? 4,73,200",M.chinnadurai | Gandharvakottai | CPM | 0,,,
