Gaarampakkam Ganapathi | DMK | Maduravoyal
Dr. Poornima | DMK | Ambattur
Ebinezhar | DMK | Dr.Radhakrishnan Nagar
Karthick Mohan | DMK | Villivakkam
KS Ravichandran | DMK | Thiru-Vi-Ka-Nagar
Tamizhan Prasanna | DMK | Egmore
Dr. Suberkhan | DMK | Royapuram
PK. Sekar Babu | DMK | Harbour
Dr. Ezhilan Naganathan | DMK | Thousand Lights
Sitrarasu | DMK | Anna Nagar
Ma Subramanian | DMK | Saidapet
Raja Anbazhagan | DMK | Thiyagarayanagar
Velu | DMK | Mylapore
Tha. Mo. Anabarasan | DMK | Alandur
Dr. RS. Krithika Devi | DMK | Tambaram
Karthik Thandapani | DMK | Chengalpattu
Amulu Ponmalar | DMK | Madurantakam
Nithya Sukumar | DMK | Kancheepuram
Vinoth Gandhi | DMK | Ranipet
Nandha Kumar | DMK | Anaikattu
Dr. Rajeswari Mohan Gandhi | DMK | Kilvaithinankuppam
Kavitha Thandapani | DMK | Jolarpet
PS Srinivasan | DMK | Veppanahalli
Sa Sathya | DMK | Hosur
Dr. V Senthil Kumar | DMK | Palacode
Shamugham | DMK | Harur
Giri | DMK | Chengam
Mahalakshmi Govardhanan | DMK | Arani
Ambethkumar | DMK | Vandavasi
Gowtham Dravidamani | DMK | Vanur
Anniyur Siva | DMK | Vikravandi
Gowthamasigamani | DMK | Tirukkoyilur
Vasanthavel | DMK | Ulundurpettai
Vasantham Karthikeyan | DMK | Rishivandiyam
Ravathy Madeswaran | DMK | Yercaud
Mithun Chakkaravarthy | DMK | Mettur
Kasi | DMK | Edappadi
Manikandan | DMK | Sankari
M Loganathan | DMK | Salem (South)
Dr. Tharun | DMK | Veerapandi
Poomalar | DMK | Senthamangalam
Rani | DMK | Namakkal
S Balu | DMK | Kumarapalayam
Indirani | DMK | Dharapuram (SC)
KA Sekar | DMK | Bhavani
Sivabalan | DMK | Anthiyur
N Nallasivam | DMK | Gobichettipalayam
Dravida Mani | DMK | Gudalur
KM Raju | DMK | Coonoor
Kavitha Kalyanasundaram | DMK | Mettuppalayam
Dr. Kokila Mani | DMK | Avanashi (SC)
Dinesh Kumar | DMK | Tiruppur (South)
Thalapathi Murugesan | DMK | Sulur
Senthamil Selvan | DMK | Coimbatore (North)
Senthil Balaji | DMK | Coimbatore (South)
Sabari Karthikeyan | DMK | Kinathukadavu
Sudhakar | DMK | Valparai
Jayakumar | DMK | Udumalaipettai
Naga Jothi | DMK | Nilakkottai
Samynathan | DMK | Vedasandur
CK Raja | DMK | Krishnarayapuram
Durairaj | DMK | Srirangam
Anbil Mahesh | DMK | Thiruverumbur
Paari vallal | DMK | Lalgudi
Karunai Raja | DMK | Musiri
ST Jayalakshmi | DMK | Perambalur
Latha Balu | DMK | Ariyalur
Kannan | DMK | Jayankondam
Nivetha Murugan | DMK | Poompuhar
Pugazhendi | DMK | Vedaranyam
TRB Raja | DMK | Mannargudi
Govi chezhian | DMK | Thiruvidaimarudur
KK Chella Pandian | DMK | Viralimalai
Meiyanathan | DMK | Alangudi
Tamizharasi Ravikumar | DMK | Manamadurai
Murthy | DMK | Madurai East
Sridhar | NTK | Gummidipoondi
Rajathi | NTK | Ponneri
Senthil Kumar | NTK | Thiruvallur
Mehala | NTK | Poonamallee
Punitha | NTK | Avadi
Revathi | NTK | Maduravoyal
Aadhithan | NTK | Ambattur
Kruthika Elumalai | NTK | Madavaram
Sathya Baskar | NTK | Thiruvottiyur
Vennila Thayumanavan | NTK | Dr.Radhakrishnan Nagar
Vetrithamizhan | NTK | Perambur
Soundrapandian | NTK | Kolathur
Roshini | NTK | Villivakkam
Jegadeesh Chander | NTK | Thiru-Vi-Ka-Nagar
Saranya | NTK | Egmore
Babumailan | NTK | Royapuram
Rufhkhan Sheriff | NTK | Harbour
Ayisha Beham | NTK | Chepauk-Thiruvallikeni
Kalanjiyam | NTK | Thousand Lights
Santhosh | NTK | Virugampakkam
Srividhya | NTK | Saidapet
Anusha Vijayakumar | NTK | Thiyagarayanagar
Arun | NTK | Mylapore
jayalakshmi Raman | NTK | Shozhinganallur
Sindhu | NTK | Sriperumbudur
Karthikeyan | NTK | Pallavaram
Tamilselvi | NTK | Tambaram
Amutha Nambiyar | NTK | Chengalpattu
Ambethrajan | NTK | Thiruporur
Swathi Lakshmi | NTK | Cheyyur
Janaki Raman | NTK | Madurantakam
Maram maasilamani | NTK | Uthiramerur
Vetriselvi | NTK | Kancheepuram
Raj Kumar | NTK | Arakkonam
Ashok Kumar | NTK | Sholingur
Tharikka salman | NTK | Ranipet
Archaha | NTK | Arcot
Soniya | NTK | Vellore
Ravi Kumar | NTK | Anaikattu
Kalaiyendri | NTK | Kilvaithinankuppam
Imalan | NTK | Gudiyattam
Murugesan | NTK | Vaniyambadi
Afsia Thoufic Bikrid | NTK | Ambur
Sasi Rekha | NTK | Jolarpet
Aarumugam | NTK | Tirupattur
Megala | NTK | Uthangarai
Kavin | NTK | Bargur
Suganthi Parthiban | NTK | Krishnagiri
Nagaraj | NTK | Veppanahalli
Stalin | NTK | Hosur
Narasimman | NTK | Thalli
